ID Imagem,creation_time,Texto Post,Alvo do Humor,Tipos de Humor,Enquadramentos Antigênero,Comunidades de Sentido do Meme,surface.name,Objeto do Meme,Raça,Descrição da Página,URL da Página,Produtor do meme,Nome da Página,RedPill (Página),statistics.angry_count,statistics.care_count,statistics.comment_count,statistics.haha_count,statistics.like_count,statistics.love_count,statistics.reaction_count,statistics.sad_count,statistics.share_count,statistics.views
1566436470668631.png,2019-04-13T08:49:16-07:00,"Você nem precisa ter assistido pra saber que os lacradorx ficaram muito putos ontem com a loira aí ganhando o BBB só porque ela falou verdades como ""Essas feministas são daquele partido lá"" e ""Eu não concordo com cotas para negros porque isso é uma forma de racismo do estado"" kkkkkkkkkk",Ideia/Grupo,Agressivo,"""Agenda Woke""",Antifeminista,Todo dia um exemplo de empoderamento feminino diferente,Minorias,Sim,-,https://www.facebook.com/TodoDiaUmExemploDeEmpoderamentoFemininoDiferente,Não,Todo dia um exemplo de empoderamento feminino diferente,Não,1,0,46,117,188,51,358,1,40,18101
1304221607571791.png,2014-12-05T05:17:23-08:00,"via: @esta é um esquerdista 
curte também: <redacted_mention> e Esta é uma Femimimista 2.0 (nossa reserva) :)",Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Esta é uma Feminista,Mulher,Não,Esta é uma página de humor e uma sátira ao feminismo.,https://www.facebook.com/estaeumafeminista,Este e um esquerdista,Esta é uma Feminista,Não,0,0,11,0,236,0,236,0,54,
1248772976335473.jpg,2015-11-01T04:43:38-08:00,"Sou contra a cultura de morte 
Sou contra o assassinato de bebês no útero
Eu sou PRÓ-VIDA 
 #CSM",NA,NA,"""Contradineusa""",Antifeminista,Anti Feminismo,Mulher,Não,"Não preciso do feminismo, pois os problemas dos homens são tão importantes quanto os meus! By MandyM.",https://www.facebook.com/antifeminismo2020,Não,Anti Feminismo,Não,0,0,14,0,139,0,139,0,287,
3867390733499951.jpg,2016-08-26T06:28:13-07:00,O Choro é Livre !!!!!,NA,NA,"""Contradineusa""",Antifeminista,Anti Feminismo,Mulher,Não,"Não preciso do feminismo, pois os problemas dos homens são tão importantes quanto os meus! By MandyM.",https://www.facebook.com/antifeminismo2020,Não,Anti Feminismo,Não,28,0,158,3,1067,98,1196,0,1462,
1587224352154491.jpg,2017-01-29T06:28:28-08:00,"Que comece o mimimi... 

#Oton",Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Metendo a Real,Mulher,Não,"Motivação, valores como honra e caráter, alertas sobre as armadilhas femininas e muito mais. Puxe uma cadeira e sinta-se em casa, guerreiro!",https://www.facebook.com/blogmetendoareal,Não,Metendo a Real,Não,0,0,19,156,704,8,869,1,332,13780
2527999317404818.jpg,2018-09-18T09:37:25-07:00,#ElesSim manas,Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Todo dia um exemplo de empoderamento feminino diferente,Mulher,Sim,-,https://www.facebook.com/TodoDiaUmExemploDeEmpoderamentoFemininoDiferente,Não,Todo dia um exemplo de empoderamento feminino diferente,Não,0,0,72,484,140,10,643,3,233,17686
2848629028629709.jpg,2018-12-06T00:19:57-08:00,"Devemos sempre ouvir a Lacralda
#elenao
#entreguista 
#resistencia",Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Feminizando,Mulher,Não,Páginas feminista para todas as mulheres que se sentem injustiçadas com o sistema opressor e patriarcal brasileiro.,https://www.facebook.com/feministasfeminizando/,Não,Feminizando,Não,0,0,0,13,11,1,25,0,9,5819
8923596327761742.jpg,2019-01-11T13:15:21-08:00,Simplesmente lógica!,Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Rubinho Nunes,Mulher,Não,"🇧🇷 Vereador da Cidade de São Paulo Ⓜ️. 🚀 7º mais votado do Brasil, com 101.549 votos. ✝️ Cristão",https://www.facebook.com/RubinhoNunes.SP,Não,Rubinho Nunes,Não,0,0,0,0,9,0,12,3,2,958
605810919068889.jpg,2020-02-18T16:43:47-08:00,"Feministas nunca quiseram igualdade, pessoas inocentes.",Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Mulheres contra o feminismo,Mulher,Não,Mulheres e Homens contra o feminismo,https://www.facebook.com/MulheresContraoFeminismo,Não,Mulheres contra o feminismo,Não,2,0,15,88,99,0,189,0,237,30458
1135494797977284.jpg,2020-02-29T05:50:25-08:00,"Opa, claro",Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Quebrando a Catraca,Mulher,Não,Acesse nosso site: Quebrandoacatraca.com.br. Redes Sociais @TaylorSports42,https://www.facebook.com/QuebrandoCatraca,Não,Quebrando a Catraca,Não,0,0,16,36,220,16,272,0,90,4598
2194739300896555.jpg,2024-03-14T11:10:05-07:00,Lógica feminista,Ideia/Grupo,Agressivo,"""Contradineusa""",Antifeminista,Antiotariopro,Mulher,Sim,💊 Verdades Dolorosas 📕Essas lições vão salvar sua vida ⤵️,https://www.facebook.com/antiotariopro,Não,Antiotariopro,Sim,1,0,485,387,311,3,711,4,41,196540
564057566635109.png,2019-01-30T18:20:53-08:00,GOLD,Ideia/Grupo,Agressivo,"""Empoleirada""",Antifeminista,Todo dia um exemplo de empoderamento feminino diferente,Mulher,Não,-,https://www.facebook.com/TodoDiaUmExemploDeEmpoderamentoFemininoDiferente,Não,Todo dia um exemplo de empoderamento feminino diferente,Não,0,0,88,579,134,5,798,73,609,18164
